"TERYT","POPULACJA","YEAR","APPROX_PERCENTAGE"
"021301",4704,2005,0.534382767191384
"021302",8249,2005,0.416436845008273
"021302",8249,2005,0.583563154991727
"021303",24576,2005,0.498753848409323
"021303",24576,2005,0.501246151590677
"021401",37191,2005,0.493883382444861
"021401",37191,2005,0.506116617555139
"021402",10311,2005,0.503164556962024
"021402",10311,2005,0.496835443037976
"021403",6359,2005,0.48021722265322
"021403",6359,2005,0.51978277734678
"021404",4656,2005,0.40566037735849
"021404",4656,2005,0.59433962264151
"021405",5122,2005,0.437436419125127
"021405",5122,2005,0.562563580874873
"021406",12483,2005,0.408520179372196
"021406",12483,2005,0.591479820627803
"021407",16494,2005,0.30760749724366
"021407",16494,2005,0.69239250275634
"021408",13032,2005,0.44835007173601
"021408",13032,2005,0.55164992826399
"021501",31959,2005,0.535447203110978
"021501",31959,2005,0.464552796889022
"021502",5365,2005,0.358504958047292
"021502",5365,2005,0.641495041952708
"021503",22976,2005,0.455711354309166
"021503",22976,2005,0.544288645690834
"021504",14851,2005,0.430212521539346
"021504",14851,2005,0.569787478460653
"021601",13115,2005,0.359856262833676
"021601",13115,2005,0.640143737166324
"021602",3965,2005,0.411910669975186
"021602",3965,2005,0.588089330024814
"021603",5301,2005,0.453071672354948
"021603",5301,2005,0.546928327645052
"021604",27235,2005,0.559858636430569
"021604",27235,2005,0.440141363569431
"021605",8863,2005,0.442886812045691
"021605",8863,2005,0.557113187954309
"021606",4642,2005,0.506224066390041
"021606",4642,2005,0.493775933609959
"021701",5289,2005,0.47565543071161
"021701",5289,2005,0.52434456928839
"021702",4562,2005,0.691481197237145
"021702",4562,2005,0.308518802762855
"021703",5106,2005,0.450849963045085
"021703",5106,2005,0.549150036954915
"021704",22198,2005,0.574856046065259
"021704",22198,2005,0.425143953934741
"021705",7497,2005,0.35705950991832
"021705",7497,2005,0.64294049008168
"021801",7162,2005,0.487196323046618
"021801",7162,2005,0.512803676953382
"021802",6101,2005,0.407003891050584
"021802",6101,2005,0.592996108949416
"021803",13514,2005,0.483907185628742
"021803",13514,2005,0.516092814371258
"021804",19539,2005,0.496625299368604
"021804",19539,2005,0.503374700631396
"021805",5466,2005,0.360538116591928
"021805",5466,2005,0.639461883408072
"021901",60213,2005,0.525594477115826
"021901",60213,2005,0.474405522884174
"021902",23287,2005,0.509368053350269
"021902",23287,2005,0.490631946649731
"021903",5430,2005,0.35831381733021
"021903",5430,2005,0.64168618266979
"021904",10496,2005,0.37624126517102
"021904",10496,2005,0.62375873482898
"021905",6511,2005,0.383735705209657
"021905",6511,2005,0.616264294790343
"021906",27048,2005,0.518783291281189
"021906",27048,2005,0.481216708718811
"021907",16498,2005,0.406150583244962
"021907",16498,2005,0.593849416755038
"021908",12662,2005,0.627177700348431
"021908",12662,2005,0.372822299651569
"022001",19343,2005,0.492624772681349
"022001",19343,2005,0.507375227318651
"022002",9385,2005,0.413890457368719
"022002",9385,2005,0.586109542631281
"022003",23087,2005,0.50869491811582
"022003",23087,2005,0.49130508188418
"022004",9429,2005,0.448028673835125
"022004",9429,2005,0.551971326164875
"022005",5755,2005,0.407372400756144
"022005",5755,2005,0.592627599243856
"022006",15016,2005,0.576011560693642
"022006",15016,2005,0.423988439306358
"022101",16520,2005,0.564516129032259
"022101",16520,2005,0.435483870967741
"022102",5071,2005,0.576023391812866
"022102",5071,2005,0.423976608187134
"022103",5946,2005,0.632450331125828
"022103",5946,2005,0.367549668874172
"022104",4855,2005,0.501100513573001
"022104",4855,2005,0.498899486426999
"022105",9112,2005,0.552874067573496
"022105",9112,2005,0.447125932426504
"022106",7313,2005,0.657159155733029
"022106",7313,2005,0.342840844266971
"022107",4256,2005,0.529906542056074
"022107",4256,2005,0.470093457943925
"022108",5748,2005,0.53768115942029
"022108",5748,2005,0.46231884057971
"022201",16256,2005,0.559343703388025
"022201",16256,2005,0.440656296611975
"022202",8638,2005,0.388075880758807
"022202",8638,2005,0.611924119241193
"022203",22905,2005,0.482110369921165
"022203",22905,2005,0.517889630078835
"022301",12186,2005,0.484712900820282
"022301",12186,2005,0.515287099179718
"022302",24704,2005,0.466691408424569
"022302",24704,2005,0.533308591575431
"022303",3132,2005,0.440185830429733
"022303",3132,2005,0.559814169570267
"022304",21491,2005,0.470173985086992
"022304",21491,2005,0.529826014913008
"022305",17268,2005,0.469821479172569
"022305",17268,2005,0.530178520827431
"022306",3864,2005,0.483720930232558
"022306",3864,2005,0.516279069767442
"022307",12769,2005,0.486521597921403
"022307",12769,2005,0.513478402078597
"022308",16781,2005,0.486642100414555
"022308",16781,2005,0.513357899585445
"022309",9456,2005,0.483287671232877
"022309",9456,2005,0.516712328767123
"022401",5552,2005,0.525128865979381
"022401",5552,2005,0.474871134020619
"022402",3121,2005,0.402877697841727
"022402",3121,2005,0.597122302158273
"022403",8541,2005,0.438207136640556
"022403",8541,2005,0.561792863359444
"022404",5555,2005,0.515483870967742
"022404",5555,2005,0.484516129032258
"022405",23016,2005,0.53047052154195
"022405",23016,2005,0.46952947845805
"022406",18211,2005,0.441673894189072
"022406",18211,2005,0.558326105810928
"022407",4811,2005,0.573863636363637
"022407",4811,2005,0.426136363636363
"022501",4359,2005,0.51860465116279
"022501",4359,2005,0.48139534883721
"022502",32446,2005,0.574981017463933
"022502",32446,2005,0.425018982536067
"022503",24832,2005,0.574230493915534
"022503",24832,2005,0.425769506084466
"022504",9353,2005,0.484088717454195
"022504",9353,2005,0.515911282545805
"022505",6148,2005,0.43448744059742
"022505",6148,2005,0.56551255940258
"022506",8811,2005,0.530076888285842
"022506",8811,2005,0.469923111714158
"022507",8256,2005,0.414647577092511
"022507",8256,2005,0.585352422907489
"022601",3911,2005,0.517814726840855
"022601",3911,2005,0.482185273159145
"022602",16500,2005,0.549161664251709
"022602",16500,2005,0.450838335748291
"022603",4693,2005,0.445283018867925
"022603",4693,2005,0.554716981132075
"022604",7821,2005,0.546107123136389
"022604",7821,2005,0.453892876863611
"022605",5553,2005,0.357503152585121
"022605",5553,2005,0.642496847414879
"022606",7135,2005,0.383874849578821
"022606",7135,2005,0.616125150421179
"026101",83463,2005,0.576772616136921
"026101",83463,2005,0.423227383863079
"026201",102979,2005,0.508104931015281
"026201",102979,2005,0.491895068984719
"026401",631235,2005,0.589009699558498
"026401",631235,2005,0.410990300441502
"040101",12565,2005,0.551082647148521
"040101",12565,2005,0.448917352851479
"040102",10880,2005,0.517585757707339
"040102",10880,2005,0.482414242292661
"040103",2011,2005,0.500665778961385
"040103",2011,2005,0.499334221038615
"040104",11494,2005,0.409155937052932
"040104",11494,2005,0.590844062947068
"040105",4471,2005,0.361623616236163
"040105",4471,2005,0.638376383763837
"040106",3340,2005,0.276018099547511
"040106",3340,2005,0.723981900452489
"040107",3202,2005,0.385919165580182
"040107",3202,2005,0.614080834419818
"040108",4583,2005,0.321531100478469
"040108",4583,2005,0.678468899521531
"040109",3653,2005,0.370182555780934
"040109",3653,2005,0.629817444219066
"040201",28506,2005,0.412556053811659
"040201",28506,2005,0.587443946188341
"040202",6251,2005,0.322929936305732
"040202",6251,2005,0.677070063694268
"040203",7441,2005,0.32128514056225
"040203",7441,2005,0.67871485943775
"040204",3746,2005,0.3580375782881
"040204",3746,2005,0.6419624217119
"040205",3955,2005,0.44493006993007
"040205",3955,2005,0.55506993006993
"040206",4714,2005,0.393507521773555
"040206",4714,2005,0.606492478226445
"040207",9121,2005,0.367825722664432
"040207",9121,2005,0.632174277335568
"040208",4096,2005,0.430173292558614
"040208",4096,2005,0.569826707441386
"040209",5209,2005,0.661343978709248
"040209",5209,2005,0.338656021290752
"040210",4712,2005,0.487441130298273
"040210",4712,2005,0.512558869701727
"040301",18081,2005,0.56366772060937
"040301",18081,2005,0.43633227939063
"040302",7792,2005,0.405968077723803
"040302",7792,2005,0.594031922276197
"040303",10396,2005,0.473406804024916
"040303",10396,2005,0.526593195975084
"040304",24052,2005,0.46578493387004
"040304",24052,2005,0.53421506612996
"040305",9363,2005,0.521819299323909
"040305",9363,2005,0.478180700676091
"040306",11633,2005,0.562099358974357
"040306",11633,2005,0.437900641025643
"040307",9613,2005,0.470477090222012
"040307",9613,2005,0.529522909777988
"040308",16748,2005,0.503620474406991
"040308",16748,2005,0.496379525593009
"040401",20868,2005,0.509878557186877
"040401",20868,2005,0.490121442813123
"040402",5538,2005,0.385504201680672
"040402",5538,2005,0.614495798319328
"040403",4399,2005,0.33140655105973
"040403",4399,2005,0.66859344894027
"040404",5331,2005,0.361629881154499
"040404",5331,2005,0.638370118845501
"040405",4435,2005,0.353684210526316
"040405",4435,2005,0.646315789473684
"040406",5173,2005,0.318974358974359
"040406",5173,2005,0.681025641025641
"040407",7004,2005,0.387524883875249
"040407",7004,2005,0.612475116124751
"040501",12953,2005,0.365719257540604
